,v1,v2
1312,ham,love u 2 babe ! r u sure alrite . idiot ? txt bak girlie
1313,ham,abt make pic big ?
1314,ham,get get 2 colour lor . colour light n e dark lor . actually style hair .
1315,ham,"whenevr ur sad , whenevr ur gray , remembr m 2 listn 2 watevr u wanna , jus walk wid little while,&amp ; promise bring ur smile.:- )"
1316,ham,. ok treat
1317,spam,"win new ûïharry potter order phoenix ( book 5 ) reply harry , answer 5 question - chance reader !"
1318,ham,ok ...
1319,ham,correct . work today
1320,ham,"send . scream moan bed , princess ?"
1321,ham,"wake long ago ... dunno , thing ?"
1322,ham,oh get u .... u ?
1323,ham,thk 50 shd ok say plus minus 10 .. ì _ leave line paragraph ?
1324,ham,plz . number show coveragd area . urgnt vasai & amp ; reach 4'o clock plz
1325,ham,yeah jay sort fucking retard
1326,ham,"sorry , bathroom , sup"
1327,spam,ur balance å£500 . ur question : sing ' uptown girl ' 80 ? 2 answer txt ur answer 83600 . good luck !
1328,ham,exam february 4 . wish great day .
1329,ham,not know come ask question like not mistake .
1330,ham,"aight rush , ask jay"
1331,ham,good morning plz sir
1332,ham,ok lar . u sleep early ... nite ...
1333,ham,"oh ... icic ... k lor , den meet day ..."
1334,ham,"oh ! half hour long syria canada , eh ? wow work day extra time ! * grin *"
1335,ham,"wall heart , safe get hurt .. find care break wall & amp ; close .. goodnoon :)"
1336,ham,"sweet , 4u meet carlos gauge patty interest"
1337,ham,buy today ? ìï need c meh ...
1338,ham,aight sorry year shower . plan ?
1339,ham,monday .. nxt week vl complete ..
1340,ham,ax m .
1341,ham,chill 6hrs . sleep pain surgical emergency unfold . okay
1342,ham,yeah try scrounge
1343,ham,crazy ar marry . ìï like gd look guy . fren like korean leona fave dun thk . aft thinking mayb prob .
1344,ham,fredericksburg
1345,ham,que pase un buen tiempo like
1346,ham,ok stay night ? xavier sleep bag get tired
1347,ham,not need test .
1348,ham,", chillin home . super bowl plan ?"
1349,spam,"free2day sexy st george day pic jordan!txt pic 89080 not miss , wk saucy celeb!4 pic c pocketbabe.co.uk 0870241182716 å£3 / wk"
1350,ham,bugis oso near wat ...
1351,ham,yo s class tmrw right ?
1352,ham,let ur heart ur compass ur mind ur map ur soul ur guide u loose world .... gnun - send way2sms.com
1353,ham,"goodnight , sleep da care pa . ."
1354,ham,baaaaabe ! misss youuuuu ! ? teach class 5 ...
1355,ham,convey regard
1356,ham,u ne convince tht possible witot hurt feel main
1357,ham,"good afternoon loverboy ! go day ? luck come way ? think , sweetie send love sea smile happy"
1358,ham,start send blackberry torch nigeria find buyer me?like 4a month . tell dad buy bb oh .
1359,ham,"& lt;#&gt ; % pple marry lover ... becz hav gud undrstndng dat avoid problem . send dis 2 u , u wil gud news friday d person like . tomorrow good day life . not break chain . break suffer . send   & lt;#&gt ;   frnd & lt;#&gt ;   min whn u read ..."
1360,ham,yo dude guess got arrest day
1361,ham,shuhui change 2 suntec steamboat ? u noe ? r u ?
1362,ham,dance river ?
1363,ham,"yetunde , sorry moji busy able shopping . find way want . forgive . reply free yahoo messenger ."
1364,ham,hey pretty late ... want lesson ? join . reach tp mrt
1365,spam,"hot live fantasy 08707509020 20p min ntt ltd , po box 1327 croydon cr9 5wb 0870 .. k"
1366,ham,bbq sit 6ish . ur welcome 2 come
1367,ham,"know , thing wrong everyso , panick start goin bout bein good û _"
1368,ham,alright . -- good night !
1369,ham,try make butt .
1370,ham,hope feel great . pls fill . abiola
1371,ham,shd n fun bar town ûò sound ok ?
1372,ham,"1 ) write msg 2 ) dictionary mode 3)cover screen hand , 4)press   & lt;#&gt ; . 5)gently remove ur hand .. interesting .. :)"
1373,spam,"bear pic nick , tom , pete ... dick . fact , type try gay chat photo upload 08718730666 ( 10p / min ) . 2 stop text 08712460324"
1374,spam,"500 new mobile 2004 , ! txt : nokia : 89545 & collect today!from å£1 www.4-tc.biz 2optout 087187262701.50gbp / mtmsg18 txtauction"
1375,ham,finally ready fyi
1376,ham,auntie huai juan pick phone
1377,spam,double min & double txt & 1/2 price linerental late orange bluetooth mobile . mobileupd8 late offer . 08000839402 call2optout / lf56
1378,ham,"ya tel , wat ur problem .."
1379,spam,. 1 nokia tone 4 ur mob week ! txt nok 87021 . 1st tone free ! txtin tell ur friend . 150p / tone . 16 reply hl 4info
1380,ham,dnt wnt tlk wid u
1381,ham,"spend day wait ideal path appear .. forget .. \path walk .. wait .. \ "" goodnight ! """
1382,ham,ok arm feel weak cuz get shot time
1383,ham,reserve ticket saturday eve chennai thirunelvali tirunelvali chennai sunday eve ... net .. ticket available .. want book ticket tackle ..
1384,ham,"storm msg : wen u lift d phne , u \hello\ "" u knw wt d real meaning hello ? ? . . . d girl .. ! . . . yes .. u knw dat girl ? ? \""margaret hello\ "" d girlfrnd f grahmbell invnte telphone ... . . . . moral : 4get d person"
1385,ham,ok . pop ask bout say . tonght wen girl come ?
1386,ham,e good 4 ur exam later .
1387,ham,hope ur head hurt 2 ! plough way pile ironing ! stay chinky tonight come round like .
1388,ham,oh k.i think wi nz player unsold .
1389,ham,"haha ... get fast lose weight , thk muz 4 month den get effect ... gee , later aust bk e weight ."
1390,ham,"wonder get online , love ? go net cafe ? phone recharge ? friend net ? think , boytoy"
1391,ham,"haha kid , papa need drug"
1392,ham,"thk shld b ... ya , wana 4 lesson ... haha , stretch ..."
1393,ham,oh ok ..
1394,ham,r meet 4 dinner tonight ?
1395,ham,s cool ! gentleman treat dignity respect .
1396,ham,shall start hear .
1397,ham,wait 4 u lor ... need 2 feel bad lar ...
1398,ham,check ? get detailed message
1399,ham,register sinco payee . log icicibank.com enter urn   & lt;#&gt ;   confirm . beware fraud . share disclose urn .
1400,ham,", decide people care stuff vote care stuff loser"
1401,ham,kaiez ... enjoy ur tuition ... gee ... thk e second option sound beta ... yan jiu den msg u ...
1402,ham,register sinco payee . log icicibank.com enter urn   & lt;#&gt ;   confirm . beware fraud . share disclose urn .
1403,ham,cool . fun practice make baby !
1404,ham,actually get ready leave house .
1405,ham,k .. k .. special today ?
1406,spam,"urgent , important information o2 user . today lucky day ! 2 find log http://www.urawinner.com fantastic surprise await"
1407,ham,get to
1408,ham,"get buck , jay noncomittal"
1409,ham,hungry
1410,ham,pls speak customer machan .
1411,ham,beneath pale moon light think u dream come true ... goodnite & amp ; sweet dream
1412,ham,"wen ur lovable bcum angry wid u , dnt seriously .. coz angry d childish n true way show deep affection , care n luv ! .. kettoda manda ... nice day da ."
1413,spam,dear u've invite xchat . final attempt contact u ! txt chat 86688 150p / msgrcvdhg / suite342/2lands / row / w1j6hl ldn 18 yrs
1414,ham,wat ur opinion abt abt character ?
1415,ham,jay snicker tell x totally fucking chord speak
1416,ham,.. hour before.went hair cut .
1417,ham,wonder ... cos dun rem see silver car ... thk see black ...
1418,ham,lmao . pic send .
1419,ham,"\speak feel word well silence ... \ "" gud mrng:- ) """
1420,ham,. currently scotland .
1421,ham,work week ?
1422,spam,congratulation ur award å£500 cd gift voucher & free entry 2 å£100 weekly draw txt music 87066 tnc www.ldew.com 1 win150ppmx3age16
1423,ham,lol great m get hungry .
1424,ham,yes .. see message ..
1425,ham,mu like   & lt;#&gt ;   second
1426,ham,ok ...
1427,ham,thing r good thanx get exam march ve revision ? fran boyf ? ve get to interviw 4 exeter bit worried!x
1428,ham,"tell , little spreadsheet track idea smoke determine \smoke much\ "" entire month february"
1429,spam,sale - arsenal dartboard . good condition double treble !
1430,ham,look building coat want sick . hurry home wear coat gym ! ! !
1431,ham,"painful personal thought- \i try everybody happy time . recognise alone\ "" """
1432,ham,thank ve lovely wished . rock
1433,ham,intrepid duo ! great time soon .
1434,ham,ask sen come chennai search job .
1435,ham,dad go oredi ...
1436,ham,"ju hope true   missin cos missin ! feel guilty , ."
1437,ham,wat late early mah . juz 4 dinner lor . aiya dunno ...
1438,ham,"arm fine , cardiff uni ?"
1439,ham,fact leave ? think addie go school tue d
1440,ham,"cool breeze ... bright sun ... fresh flower ... twitter bird ... wait wish u : \goodmorning & amp ; nice day\ "" :) """
1441,ham,ya:)goe restaurant ..
1442,ham,"ok . , askd u knw tht ?"
1443,spam,free 1st week entry 2 textpod 4 chance 2 win 40 gb ipod å£250 cash wk . txt pod 84128 ts&c www.textpod.net custcare 08712405020 .
1444,ham,duck chinchilla
1445,ham,marriage function
1446,ham,look like u wil b get headstart m leave bout 2.30ish u r desperate company head early - goin meet rummer .
1447,ham,donû÷t fly monkey wot think certainly donû÷t mind . friend !
1448,spam,register optin subscriber ur draw 4 å£100 gift voucher enter receipt correct an 80062 s no1 bbc chart
1449,ham,thanks2 .
1450,ham,msg rajini come .
1451,ham,ya ! ì _ take ure practical lesson ? start june ..  
1452,ham,"good , need drug"
1453,ham,stupid.its possible
1454,ham,ì _ decide fast cos sis go home liao ..
1455,spam,summer finally ! fancy chat flirt sexy single yr area ? match reply summer . free 2 join . optout txt stop help08714742804
1456,ham,u sleep .. go ? haha .. get spys wat .. online check n reply mail lor ..
1457,spam,claire havin borin time & u wanna cum 2nite ? chat 09099725823 hope 2 c u luv claire xx callså£1 / minmoremobsemspobox45po139wa
1458,ham,"fight world easy , u win lose bt fightng some1 close u dificult u lose - u lose u win - u lose ."
1459,spam,buy ringtone get text cost 3 pound offer tone etc
1460,ham,"yalru lyfu astne chikku .. bt innu mundhe lyf ali halla ke bilo ( marriage)program edhae , lyf not ovr chikku .. ali vargu lyfu meow meow:-d"
1461,ham,kinda . get ! aah . speak tomo
1462,spam,"09066362231 urgent ! mobile 07xxxxxxxxx win å£2,000 bonus caller prize 02/06/03 ! 2nd attempt reach ! 09066362231 asap !"
1463,ham,ok good later come find ì _ ... c lucky tell ì _ early ... later pple finish ì _ ...
1464,ham,wat make u thk fall . actually thk prone 2 fall . lucky dad home ask come n fetch .
1465,spam,"07801543489 guarantee latest nokia phone , 40 gb ipod mp3 player å£500 prize ! txt word : collect no:83355 ! tc - llc ny - usa 150p / mt msgrcvd18 +"
1466,ham,account refill successfully inr   & lt;decimal&gt ; . keralacircle prepay account balance rs   & lt;decimal&gt ; . transaction d kr & lt;#&gt ; .
1467,ham,will not touch permission .
1468,spam,hi lucy hubby meetin day fri & b hotel u fancy cumin ? pls leave msg 2day 09099726395 lucy x callså£1 / minmobsmorelkpobox177hp51fl
1469,ham,"7 wonder world 7th 6th ur style 5th ur smile 4th ur personality 3rd ur nature 2nd ur sms 1st \ur lovely friendship\ "" ... good morning dear """
1470,ham,small dose tablet fever
1471,ham,oh . u take real valentine shopping .
1472,ham,"send email ûò address incomm , right ?"
1473,ham,", go to blake night ? able little early"
1474,ham,"friendship game play , word , doesn\'t start march end , tomorrow , yesterday , today e"
1475,ham,"nice . wait ... texte right ? go to pay ticket , ya know !"
1476,ham,watch lotr w sis dis aft . u wan 2 meet 4 dinner nite ?
1477,ham,keep away like
1478,ham,think far find . check google map place dorm .
1479,ham,trip ok tiring lor . uni start today ok 4 cos take module jus concentrate final yr project .
1480,ham,say welp ?
1481,ham,"guy , browsin compulsory"
1482,ham,ok ...
1483,ham,purity friendship smile read forwarded message .. smile see . gud evng musthu
1484,ham,"sorry , later"
1485,ham,"( add care dude fuck hey , money want )"
1486,ham,"hello lover ! go new job ? ? happy ? think ? wake , slave send teasing kiss sea"
1487,ham,tell number gautham ..
1488,ham,tell need investigate .
1489,ham,ok juz receive ..
1490,ham,"not believe say thing morning want good morning , love ! beautiful morning . library later ."
1491,spam,"account credit 500 free text message . activate , txt word : credit : 80488 t&cs www.80488.biz"
1492,ham,end vomit okay . come .
1493,ham,money ... ... money be not thing .... sha !
1494,ham,weather . extra warm . cold . pls lot vitamin c
1495,ham,hey gal .. u go e drive centre tmr ?
1496,ham,yahoo messenger . send message i.ll send mobile mode sha i.ll . reply .
1497,ham,put . ready   & lt;time&gt ;
1498,ham,"time n smile r crucial thing life . time make forget smile , smile make forget time gud noon"
1499,spam,"sm . ac jsco : energy high , u know 2channel . 2day ur leadership skill r strong . psychic ? reply ans w / question . end ? reply end jsco"
1500,ham,host - base idps linux system .
1501,spam,"hot live fantasy 08707509020 20p min ntt ltd , po box 1327 croydon cr9 5wb 0870 national rate"
1502,ham,don da:)what plan ?
1503,ham,ill   & lt;#&gt ;   ok .
1504,ham,oh god . home
1505,ham,total video converter free download type google search :)
1506,spam,thank vote . sing star karaoke mobile . free link reply sing .
1507,ham,"wen ur lovable bcum angry wid u , dnt seriously .. coz angry d childish n true way show deep affection , care n luv ! .. kettoda manda ... nice day da ."
1508,ham,sound like test sayy
1509,ham,u love not love u u . love not want love ... gud nit .
1510,ham,"pete , phone ? jenny college leanne.what ? :)"
1511,ham,oop sorry . check mind pick tomo half station . ok ?
1512,ham,"hey sweet , wonder moment come ? want send file will yahoo connection suck , remember set page download format disc ? tell ? know way download big file ? download stuff directly internet . help great , prey ... * teasing kiss *"
1513,ham,s champ leave glasgow !
1514,ham,k:)all best:)congrat ...
1515,ham,wonder text ?
1516,ham,need come home good lovin ...
1517,spam,brand new mobile music service live . free music player arrive shortly . install phone browse content artist .
1518,ham,shall ask thing not mistake .
1519,ham,check wid corect spele i.e. sarcasm
1520,spam,"urgent ! mobile award å£2,000 bonus caller prize 1/08/03 ! 2nd attempt contact ! 0871 - 4719 - 523 box95qu bt national rate"
1521,ham,angry . happen dear
1522,ham,thk u dun haf 2 hint e forum lor ... cos tell ron n darren go 2 tell shuhui .
1523,ham,yup ok thanx ...
1524,ham,hi:)ct employee ?
1525,ham,pls pls find aunt nike .
1526,ham,"wow ... love sooo , know ? barely stand ! wonder day go , love ... think miss"
1527,ham,screaming mean shout ..
1528,ham,hey happen de . alright .
1529,ham,pick receipt early
1530,ham,think chennai settle ?
1531,ham,oh dang ! mean o send ! lol !
1532,ham,unfortunately find pick sister airport evening think go . try th
1533,ham,horrible bf ... v hungry ...
1534,ham,remember day ..
1535,spam,win nokia 7250i . win free auction . send nokia 86021 . hg / suite342/2lands row / w1jhl 16 +
1536,ham,feel ? mr . real valentine yo valentine tho u hardly play ! !
1537,ham,sound good . finger . make difficult type
1538,ham,midnight early
1539,ham,sure try xavi smoke want smoke tell smoke ?
1540,ham,k come nordstrom
1541,ham,u konw waht rael friendship m gve yuo exmpel : jsut ese tihs msg .. evrey spllee tihs msg wrnog .. bt sitll yuo raed wihtuot ayn mitsake .. goodnight & amp ; nice sleep .. sweet dream ..
1542,ham,press conference da :)
1543,spam,"hello orange . 1 month free access game , news sport , plus 10 free text 20 photo message , reply yes . term apply : www.orange.co.uk/ow"
1544,ham,complete degree . use join finance .
1545,ham,"good afternoon , love ! job prospect ? miss ? ? lazy bleak , hmmm ? happy fill love ?"
1546,ham,shall not disturb u anymore ... jia ...
1547,ham,bishan lar nearer ... need buy early cos buy get to park car ...
1548,ham,", not know oh"
1549,ham,dude sux snake . get old raiden get buff
1550,ham,say hi ass south tampa ( preferably kegger )
1551,ham,e msg ju . u say thank gift .
1552,ham,u ...
1553,ham,ok dear . chechi
1554,ham,yeah tote . u wanna ?
1555,ham,ok find dis pierre cardin look normal cost 20 sale .
1556,ham,good sleep rhythm . person establish rhythm body learn use . want know :-)
1557,ham,wat r u ?
1558,ham,message . truro hospital ext . phone . phone
1559,ham,"single line big meaning : : : : : \miss 4 ur \""b life\ """
1560,ham,"get gas money , chance gang want grand nature adventure ?"
1561,ham,dnt worry ... use ice piece cloth pack.also 2 tablet .
1562,ham,dude see park car sunroof pop . sux
1563,ham,ready excellent sub face :)
1564,ham,tmrw . m finish 9 door
1565,ham,"  & lt;#&gt ; g see day ago , guy want sell wifi   & lt;#&gt ;   3 g   & lt;#&gt ; . blank ."
1566,ham,late .
1567,ham,", m pretty pissed ."
1568,ham,today accept day .. u accept ? brother sister lover dear1 best1 clos1 lvblefrnd jstfrnd cutefrnd lifpartnr belovd swtheart bstfrnd rply mean enemy
1569,ham,not image class .
1570,ham,no:-)i get rumour go buy apartment chennai:- )
1571,ham,near kalainar tv office.thenampet
1572,spam,ur cash - balance currently 500 pound - maximize ur cash - send 86688 150p / msg . cc 08718720201 hg / suite342/2lands row / w1j6hl
1573,spam,sms auction - brand new nokia 7250 4 auction today ! auction free 2 join & ! txt nokia 86021 ! hg / suite342/2lands row / w1j6hl
1574,ham,sis catch e e afternoon watch w . c u wan 2 watch today tmr lor .
1575,ham,"sound gd ... haha ... ... wah , u yan jiu fast liao ..."
1576,ham,. nosy guess . idk react freak ?
1577,ham,"remember hurt day satanic imposter me.need pay price , it.may destiny go u say pray mind ."
1578,ham,girl happy ? difficult girl happy . u need ... 1 . friend 2 . companion 3 . lover 4 . chef . . .   & lt;#&gt ; . good listener   & lt;#&gt ; . organizer   & lt;#&gt ; . good boyfriend   & lt;#&gt ; . clean   & lt;#&gt ; . sympathetic   & lt;#&gt ; . athletic   & lt;#&gt ; . warm . . .   & lt;#&gt ; . courageous   & lt;#&gt ; . determine   & lt;#&gt ; . true   & lt;#&gt ; . dependable   & lt;#&gt ; . intelligent . . .   & lt;#&gt ; . psychologist   & lt;#&gt ; . pest exterminator   & lt;#&gt ; . psychiatrist   & lt;#&gt ; . healer . .   & lt;#&gt ; . stylist   & lt;#&gt ; . driver . . aaniye pudunga venaam ..
1579,ham,", princess ? bet brotha chase !"
1580,ham,"shall book chez jule half , ok ?"
1581,ham,hhahhaahahah rofl wtf nig leonardo room
1582,ham,"yep , derek house , sunday & lt;3"
1583,ham,"cool , let know kick   & lt;#&gt ; , day"
1584,ham,"sorry , later"
1585,ham,wonder okay uncle john let know thing nigeria r .   & lt;#&gt ;   dollar 2years send know strain plan pay dime give . dime expect practical . like .
1586,ham,charge transfer charge withdraw like
1587,ham,"not search love , let love find u. s call fall love , bcoz u not force , u fall u know smeone hold u ... bslvyl"
1588,ham,4 . let bill miller
1589,ham,love . set soul fire . spark . flame . big rawring flame . xoxo
1590,ham,"somewhr surely 4 u. god decide perfect time u meet dat person . . . . till den , . . . . . enjoy ur crush .. !!!;- )"
1591,ham,honeymoon outfit . :)
1592,ham,help propose go tomorrow
1593,spam,private ! 2003 account statement show 800 un - redeem s. i. m. point . 08719899230 identifier code : 41685 expire 07/11/04
1594,ham,blame day ur life . good day u happiness . bad day u experience . essential life ! god blessing ! good morning . :
1595,ham,pls confirm time collect cheque .
1596,spam,register subscriber yr draw 4 å£100 gift voucher b enter receipt correct an . olympic . txt ans 80062
1597,spam,urgent ! mobile number award å£2000 prize guarantee . 09061790121 land line . claim 3030 . valid 12hrs 150ppm
1598,ham,daddy good care :)
1599,ham,"yeah probably , get to check leo"
1600,ham,k.then special ?
1601,ham,carlos take sweet time usual let know patty / want smoke tell haul ass
1602,ham,ok pa . problem:- )
1603,ham,hear job ? go wildlife talk tonight u want2come . that2worzel wizzle ? !
1604,ham,"god pick flower dippeditinadew , lovingly touch itwhichturnedinto u , gift tomeandsaid , friend 4u"
1605,ham,come hostel .
1606,ham,ok prob ... come lunch ...
1607,ham,jus tell u dat b leave 4 shanghai 21st instead haf time 2 meet cya ...
1608,ham,freezing ? home ? remember kiss mom morning ? love ? think ? miss ?
1609,ham,ready * big day tomorrow ?
1610,ham,probably mu lot
1611,ham,645
1612,spam,rt - king pro video club > > need help ? info@ringtoneking.co.uk 08701237397 16 + club credit redeemable www.ringtoneking.co.uk ! enjoy !
1613,ham,thnx dude . u guy 2nite ?
1614,ham,sef dey laugh . darling anjie !
1615,ham,mm food da
1616,ham,"k , make sense , btw carlos difficult guy go to smoke pick second batch gas"
1617,ham,u download fring app ?
1618,ham,2 oz guy kinda flaky friend interested pick $ & lt;#&gt ;   worth tonight possible
1619,ham,friend u stay fb chat
1620,ham,"fuck babe , miss sooooo ! ! wish sleep ... bed lonely ... , sleep ... dream , love ..."
1621,ham,"living simple .. love simple .. laugh simple .. win tooo simple .. , ' simple ' difficult .. gud nte.:-"
1622,spam,u secret admirer look 2 contact u - find r*reveal think ur special - 09058094599
1623,ham,"ah , confuse thing , doesnû÷t ?"
1624,spam,500 free text msgs . text ok 80488 credit account
1625,ham,hi dear urgnt . know s problem . want work problem tell . wate reply .
1626,ham,dear . ok ?
1627,spam,"select stay 1 250 british hotel - ! holiday worth å£350 ! claim , london 02072069400 . bx 526 , sw73ss"
1628,ham,yes princess ! want happy ...
1629,ham,sound like talent ! like dinner date week ?
1630,ham,go film 2day da . 6 pm . sorry da .
1631,ham,watch movie . xy want 2 shop shop w .
1632,ham,hello little party animal ! think buzz friend ... * grin * ... remind love send naughty adore kiss
1633,ham,yesterday . go home .
1634,spam,"eerie nokia tone 4u , rply tone title 8007 eg tone dracula 8007 title : ghost , addamsfa , munster , exorcist , twilight www.getzed.co.uk pobox36504w45wq 150p"
1635,ham,"come life bring sun .. shiny , warm heart . put constant smile face ... make feel love care"
1636,ham,"shit , surprised , go spend evening french guy meet town fool bit let fuck"
1637,spam,"0a$network allow company bill sm , responsible \suppliers\ """
1638,ham,great comedy .. cant stop laugh da :)
1639,spam,freemsg : feelin kinda lnly hope u like 2 company ! jst get cam moby wanna c pic?txt reply date 82242 msg150p 2rcv hlp 08712317606 stop 82242
1640,ham,"alright , set , text man"
1641,ham,"hi , ?   keen kind feel tomo , mind ?"
1642,ham,sleep not feel
1643,ham,u switch fone dammit ! !
1644,ham,india lead :)
1645,ham,i.ll post l8r . class
1646,ham,tht wat wright brother fly ..
1647,ham,"evening * v good somewhat event laden . fill , worry û _ head * ok throat * wreck . !"
1648,ham,u laugh loud .. u talk spontaneously .. u not care feel .. u probably dear & amp ; good friend .. goodevene dear .. :)
1649,ham,laptop .
1650,ham,not file bag .. work call me.i tell find room .
1651,ham,wan early lei ... outside wun b home early ... neva mind ...
1652,spam,"ur chance win å£250 cash wk txt : action 80608 . t's&c www.movietrivia.tv custcare 08712405022 , 1x150p / wk"
1653,ham,bugis juz wat ... walk home oredi ... ìï late reply ... oso see dat like din buy ... r ì _ ?
1654,ham,"wish family merry \x\ "" mas happy new year advance .. """
1655,ham,7 ok na .
1656,ham,yes post couple pic fb . snow outside . wake :)
1657,ham,s:-)if good partnership go lead :)
1658,spam,rgent ! 2nd attempt contact u!u win å£1250 09071512433 b4 050703 t&csbcm4235wc1n3xx . callcost 150ppm mobilesvary . maxå£7 . 50
1659,ham,"yeah , class ?"
1660,ham,send . bec temple na .
1661,ham,"come home class , right ? need work shower !"
1662,spam,hi ur lookin 4 saucy daytime fun wiv busty married woman free week chat 2 sort time 09099726429 janinexx callså£1 / minmobsmorelkpobox177hp51fl
1663,ham,s like .
1664,ham,ìï v ma fan ...
1665,ham,dunno cos v late n reach inside ... eat spageddies lor ... e gal r laugh lor ...
1666,ham,guess spend night phase fourth dimension
1667,ham,dad go to get work ask crazy question .
1668,ham,"yes .. say . ,"
1669,ham,hurt n meaningful line : \i compromise love
1670,ham,lmao!nice 1
1671,ham,glad reply .
1672,spam,urgent ! try contact u. todays draw show win å£800 prize guarantee . 09050001295 land line . claim a21 . valid 12hrs
1673,spam,monthly password wap . mobsi.com 391784 . use wap phone pc .
1674,ham,nah dub je buff
1675,ham,painful words- \i think happy tough thing earth ...
1676,ham,"yeah , fine ! å£6 , ok ?"
1677,ham,lol u come idea ?
1678,ham,"people special sight , remain special till sight .. maintain till life end .. sh!jas"
1679,ham,"today \song dedicated day .. \ "" song u dedicate ? send ur valuable frnd rply ... """
1680,ham,okay ... wait ah
1681,ham,y lei ?
1682,ham,hi babe u r likely bed m sorry tonight ! wanna u tomorrow 9 . love xxx
1683,ham,squat new way walk
1684,ham,want bold 2 bb torch
1685,ham,cramp stop . go sleep
1686,spam,today vodafone number end 0089(my digit ) select received å£350 award . number match 09063442151 claim å£350 award
1687,spam,free ringtone -sub weekly ringtone - 1st week free - send subpoly 81618-?3 week - stop sms-08718727870
1688,ham,nan sonathaya soladha . boss ?
1689,ham,bring tat cd don forget
1690,spam,sunshine quiz wkly q ! win sony dvd player u know country algarve ? txt ansr 82277 . å£1.50 sp : tyrone
1691,ham,know rape dude poker
1692,ham,weightloss ! girl friend . load money ebay . thank god .
1693,ham,gr8 message . r u leave ? congrat dear . school wat r ur plan .
1694,ham,ìï eatin later eatin wif fren lei ... ìï go home ?
1695,ham,finish ... yar say mushy ... embarrassed ok ...
1696,ham,"sorry man , stash run dry night pick sunday"
1697,ham,hai priya right . doctor say pa . .
1698,spam,"free msg . sorry , service order 81303 deliver sufficient credit . receive service ."
1699,ham,ok ...
1700,ham,ask mummy father
1701,ham,come room come house cos house messy ... haha ...
1702,ham,lose 10 kilo today !
1703,ham,taste fish curry :-p
1704,ham,? accidant tookplace ghodbandar rd . traffic move slovely . plz slip & amp ; worry .
1705,ham,yun ah.now ì _ wkg where?btw ì _ nus sc . ìï wana specialise wad ?
1706,ham,yes ! woman man ! tell like dislike bed ...
1707,ham,test early . appreciate . tomorrow .
1708,ham,"loverboy ? keep come queen , hmmm ? ache speak ? miss desparately ?"
1709,ham,u meet fren dun wan meet ah ... muz b guy rite ...
1710,ham,"( promise , get dinner )"
1711,ham,get ! dislike bed ?
1712,ham,o turn stereo love mi phone unknown album .
1713,spam,hard live 121 chat 60p / min . choose girl connect live . 09094646899 ! cheap chat uk big live service . vu bcm1896wc1n3xx
1714,ham,yeah
1715,ham,ask u knw not ? ur frnd classmate ?
1716,ham,"sorry early . put fires.are talk 9 ? actually life , lol !"
1717,spam,wow ! boy r . 2007 uk tour . win vip ticket & pre - book vip club . txt club 81303 . trackmarque ltd info@vipclub4u .
1718,ham,"missionary hook , doggy hook , standing ... |"
1719,ham,u well sleep .. dun disturb u liao .. u wake msg lor ..
1720,ham,"fight world easy , u win lose bt fightng some1 close u dificult u lose - u lose u win - u lose ."
1721,ham,watch house ûò entertaining ûò get hugh laurie thing ûò stick ûò especially stick .
1722,ham,think prap mean . goodo ! look tomorrow
1723,ham,"hi jon , pete , ve bin 2 spain recently & hav sum dinero leave , bill say u ur åôrent mayb interested , hav 12,000pes , å£48 , tb , james ."
1724,ham,bold 2   & lt;#&gt ; .
1725,ham,know . shall speak   & lt;#&gt ;   minute
1726,ham,"\alrite hunny!wot u 2 2nite ? not end goin town jus da pub instead ! jus chillin da mo bedroom!love jen xxx.\ "" """
1727,ham,go project centre
1728,ham,request ' maangalyam ( alaipayuthe ) ' set callertune caller . press * 9 copy friend callertune
1729,ham,lol yeah point guess
1730,ham,project w frens lor .
1731,ham,lol . quality be not bad be not complain
1732,ham,"k , happen tonight ?"
1733,spam,"hi , mandy sullivan call hotmix fm ... choose receive å£5000.00 easter prize draw ..... telephone 09041940223 claim 29/03/05 prize transfer ...."
1734,ham,"think go finn , come"
1735,ham,tired special
1736,ham,come tomorrow di
1737,ham,not pick phone right . pls send message
1738,ham,k sleep . rest:- ) .
1739,ham,u guy invite :(
1740,spam,ur go 2 bahama ! callfreefone 08081560665 speak live operator claim bahama cruise ofå£2000 cash 18+only . opt txt x 07786200117
1741,ham,! want inside outside bedroom ...
1742,ham,"\ey ! calm downon theacusation .. itxt u cos iwana know wotu r doin thew / end ... haventcn u age .. ring ur up4 nethe sat.love j xxx.\ "" """
1743,ham,love wine dine lady !
1744,spam,conacte date service enter phone fancy you!to find landline 09111030116 . pobox12n146tf15
1745,ham,"iåõm cool ta luv v.tire 2 cause doin load plan wk , get social service inspection nursery ! care & spk sn x."
1746,ham,don know account detail .. ask mom send you.my mom reach .
1747,ham,think u wrong number .
1748,ham,feel happy .. slowly habit & amp ; finally life .. follow .. happy morning & amp ; happy day :)
1749,ham,b late love mum
1750,ham,get .. mail panren paru ..
1751,ham,* think chuckin ur red green n black trainner 2 save carryin bac train
1752,ham,miss number
1753,ham,jus come fr lunch wif sis . u leh ?
1754,ham,schedule week ? town weekend .
1755,ham,good:)dhanush rock :)
1756,ham,lmao ok will not need u hair anymore .
1757,ham,"miss ya , need ya , want ya , love ya ."
1758,ham,sorry free ...
1759,ham,u song stick head reason will away til u listen like 5 time ?
